GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ResourceInventorySagreAPI-api,com.tlf.oss.resourceinventory.sagre.api.v1_0,DeallocateService,28,0,0,0,8,0,2,0,2,0
ResourceInventorySagreAPI-api,com.tlf.oss.resourceinventory.sagre.api.v1_0,AllocateService,28,0,0,0,8,0,2,0,2,0
ResourceInventorySagreAPI-api,com.tlf.oss.resourceinventory.sagre.api.v1_0,ReserveService,28,0,0,0,8,0,2,0,2,0
ResourceInventorySagreAPI-api,com.tlf.oss.resourceinventory.sagre.api.v1_0,InstallService,28,0,0,0,8,0,2,0,2,0
ResourceInventorySagreAPI-api,com.tlf.oss.resourceinventory.sagre.api.v1_0,ReleaseService,28,0,0,0,8,0,2,0,2,0
ResourceInventorySagreAPI-api,com.tlf.oss.resourceinventory.sagre.api.v1_0,FacilityRetrievalService,28,0,0,0,8,0,2,0,2,0
ResourceInventorySagreAPI-api,com.tlf.oss.resourceinventory.sagre.api.v1_0,DetermineAvailabilityService,48,42,0,0,7,5,0,2,0,2
ResourceInventorySagreAPI-api,com.tlf.oss.resourceinventory.sagre.api.v1_0,UninstallService,28,0,0,0,8,0,2,0,2,0
ResourceInventorySagreAPI-api,com.tlf.oss.resourceinventory.sagre.api.v1_0,RestConfig,41,0,0,0,11,0,2,0,2,0
